나이,계약유형,이번달_주당방문횟수,총_이용개월수,상대_방문공백,일평균_운동시간,주_이용_시간대_혼잡도,PT_가입여부,그룹수업_참여,최근한달_부상경험,서비스불만_환경불편,서비스불만_비매너회원,기구불만_기구부족,기구불만_기구상태불만,직원불만_불친절,직원불만_전문성부족,가격불만,이탈
32,12,3,9,0.63,75,여유,0,0,0,2,4,1,1,3,5,5,1
48,6,0,9,2.34,48,보통,0,0,0,5,4,3,4,4,5,5,1
52,3,2,6,1.82,85,여유,0,1,0,2,4,1,1,3,3,3,0
65,6,2,8,0.42,53,보통,0,0,0,5,4,5,4,4,4,4,1
24,3,2,1,1.43,105,혼잡,1,1,0,4,4,3,3,4,4,1,0
23,3,2,15,0.83,147,여유,1,1,0,4,4,3,5,5,4,4,0
21,1,4,10,0.89,78,여유,1,1,0,4,5,2,3,5,4,3,0
67,12,2,5,0.81,95,여유,0,1,1,3,4,3,4,5,5,3,1
47,6,3,11,0.79,75,보통,1,1,0,3,3,4,2,4,4,4,0
28,1,1,18,1.37,47,혼잡,0,0,0,3,5,3,3,3,1,3,0
19,6,2,14,0.8,36,혼잡,0,0,0,2,3,4,2,5,4,4,1
53,3,2,6,0.98,84,여유,0,1,0,3,3,2,4,4,3,3,0
30,3,1,4,4.42,81,보통,1,0,1,5,5,4,5,5,5,4,1
36,12,4,5,0.21,85,보통,0,1,0,4,4,3,5,4,5,5,0
52,12,1,2,1.29,77,혼잡,1,0,0,3,5,4,2,4,3,2,0
37,12,1,4,0.98,37,여유,0,0,0,3,4,4,5,5,5,4,0
38,3,2,3,1.4,66,매우혼잡,1,0,0,1,5,3,3,4,4,2,1
18,1,2,4,0.31,60,여유,0,0,0,2,3,2,1,3,4,3,1
33,1,0,11,2.26,73,보통,0,0,0,5,4,3,4,4,3,4,1
25,1,2,32,1.52,68,매우혼잡,0,1,0,5,5,3,5,4,4,4,1
24,12,3,3,0.83,114,보통,0,1,0,3,3,4,4,4,4,2,0
64,3,1,15,1.2,72,보통,0,1,1,3,3,5,4,5,5,4,0
40,12,1,11,1.33,142,혼잡,1,0,1,3,4,2,3,4,2,4,1
27,3,2,7,2.41,40,보통,0,1,0,4,3,5,4,4,5,3,1
43,12,1,39,6.56,51,혼잡,0,0,0,4,2,4,3,4,3,3,1
53,12,3,32,0.9,61,혼잡,0,1,0,5,3,2,4,4,4,4,0
28,3,0,7,0.97,22,보통,0,1,1,5,4,3,5,3,3,3,1
54,3,1,17,1.93,77,혼잡,1,0,0,3,3,5,3,4,4,4,0
20,6,3,6,0.4,66,혼잡,1,0,0,3,4,3,3,5,5,3,0
24,1,0,11,1.35,83,보통,1,0,0,3,4,4,3,4,5,4,0
22,1,2,29,1.0,64,혼잡,0,0,0,5,5,5,4,5,5,5,1
56,12,5,15,0.26,129,혼잡,1,0,0,2,2,4,3,1,2,2,0
30,6,5,17,0.62,45,여유,1,1,0,3,1,1,2,3,1,1,0
19,6,3,10,0.98,43,혼잡,0,0,0,3,4,5,5,4,4,2,0
50,6,1,16,7.74,42,매우혼잡,0,0,0,5,5,5,4,5,4,4,1
67,3,0,18,1.41,39,혼잡,0,0,0,4,3,2,4,3,3,4,0
57,12,5,5,0.14,105,보통,1,0,0,4,5,3,4,3,3,2,0
27,1,2,4,0.72,32,매우혼잡,0,0,0,5,4,4,4,5,2,2,0
35,1,2,39,0.79,85,매우혼잡,1,0,0,5,5,5,5,5,5,3,0
38,12,4,9,1.04,79,보통,0,1,0,1,3,2,2,2,3,3,0
47,12,0,6,0.86,46,혼잡,0,0,1,4,4,4,5,4,4,3,1
18,1,3,2,0.92,34,여유,0,1,0,2,3,2,3,2,3,5,0
34,6,2,2,0.56,82,보통,0,0,0,4,2,2,3,5,3,3,0
40,12,3,25,0.52,98,혼잡,1,1,0,4,2,4,3,3,3,1,0
35,3,5,26,0.44,95,보통,0,1,0,3,3,2,5,5,5,2,0
68,1,3,6,0.73,103,여유,0,0,0,3,2,4,2,4,2,2,0
23,6,2,7,1.25,23,보통,0,1,0,3,2,4,3,4,4,3,0
27,12,0,2,1.32,93,매우혼잡,0,0,0,4,4,4,3,3,1,1,1
57,12,2,11,0.21,87,여유,1,0,0,1,5,4,4,5,5,4,1
30,3,3,5,0.5,76,여유,0,0,0,2,3,3,3,5,5,2,0
36,6,2,12,1.11,43,보통,0,0,0,1,4,4,5,3,4,4,0
35,3,2,2,0.57,41,여유,0,0,0,3,3,3,4,4,4,3,1
62,6,6,5,0.1,106,혼잡,1,1,0,5,5,4,4,5,5,3,0
37,6,4,5,0.68,90,여유,0,0,0,3,2,1,2,3,2,1,0
34,6,3,6,0.34,67,혼잡,0,0,0,3,3,2,4,3,3,2,0
43,3,1,6,1.03,137,혼잡,0,1,0,2,3,4,4,3,3,2,1
57,6,0,5,0.73,29,보통,0,0,1,5,4,4,4,5,3,5,1
59,6,0,4,2.08,45,혼잡,0,1,0,5,5,3,5,5,5,4,0
23,3,0,4,7.01,58,매우혼잡,0,0,1,5,4,4,4,1,3,4,1
40,1,3,9,0.19,117,여유,0,1,0,3,4,2,3,5,4,2,0
39,6,2,16,0.37,17,혼잡,0,0,0,4,4,4,4,2,2,3,0
27,3,2,8,1.65,30,보통,0,0,0,4,3,4,4,4,3,3,0
39,6,1,12,3.54,38,보통,0,0,1,3,2,1,2,2,4,1,1
21,1,3,6,0.64,85,보통,0,0,0,3,2,3,1,3,3,2,0
44,3,2,4,2.09,54,매우혼잡,0,0,0,4,4,4,5,5,5,2,0
23,1,2,13,0.63,45,혼잡,0,1,0,3,4,4,3,3,3,4,0
21,3,3,3,0.63,68,보통,0,0,0,4,3,3,3,4,3,4,1
27,12,0,5,2.33,32,혼잡,0,0,0,3,3,4,4,3,1,5,1
55,6,2,12,1.17,86,여유,0,0,0,3,1,1,1,3,4,4,1
33,3,3,18,0.82,71,보통,0,0,0,3,3,3,3,3,3,4,1
24,1,2,6,0.56,57,여유,0,0,0,2,2,3,2,3,1,4,0
67,1,0,4,2.18,37,보통,0,0,0,4,3,3,1,3,2,4,1
36,12,2,8,0.2,21,여유,0,0,0,3,3,3,4,3,3,3,0
45,3,5,12,0.78,50,여유,0,1,0,1,3,3,3,2,3,3,0
48,12,2,13,1.59,57,보통,1,0,0,4,5,5,5,2,3,3,0
38,6,5,4,1.3,76,여유,1,1,0,2,4,1,1,3,2,3,0
29,12,2,3,1.7,46,혼잡,0,0,0,3,4,4,3,4,2,3,1
49,3,2,23,0.7,50,여유,0,1,0,2,2,1,1,4,3,1,0
26,12,3,7,0.47,61,매우혼잡,1,1,0,4,4,5,5,4,3,2,0
48,12,3,12,0.71,73,보통,1,1,0,3,4,3,2,4,3,3,0
37,3,3,18,0.95,58,보통,1,0,0,5,5,4,5,4,4,5,1
25,12,0,4,2.18,35,보통,0,0,0,2,3,4,4,4,3,2,1
44,3,2,20,1.2,99,보통,1,1,0,4,2,4,4,4,4,4,1
44,1,3,17,0.57,95,혼잡,0,0,0,4,5,4,4,4,4,4,1
27,3,2,3,1.37,72,보통,0,0,0,3,4,2,4,4,5,4,0
42,1,4,35,0.19,54,여유,1,0,0,1,1,2,1,1,2,2,0
19,6,1,4,1.08,47,혼잡,1,0,0,4,4,4,4,5,3,2,1
65,6,1,21,1.47,92,매우혼잡,0,0,0,5,3,5,2,3,4,3,0
32,3,1,1,2.05,53,여유,0,0,0,3,3,1,3,4,5,4,1
28,3,3,12,0.43,55,보통,1,0,0,4,4,3,4,3,3,1,0
20,1,6,9,0.25,87,여유,1,1,0,2,3,2,3,4,4,3,0
64,6,1,2,2.02,42,여유,0,0,0,5,2,2,1,4,3,4,0
37,3,4,7,0.14,84,여유,0,0,0,4,4,2,4,2,3,4,0
40,6,1,7,1.36,58,혼잡,0,0,1,4,5,3,2,4,4,5,1
23,6,2,9,0.99,57,보통,1,1,0,3,5,3,4,5,5,4,0
18,12,0,5,1.06,44,혼잡,0,0,0,4,3,4,4,5,5,5,1
19,6,3,4,0.45,105,혼잡,0,0,0,3,3,2,2,3,3,3,1
24,12,2,5,0.5,31,보통,0,1,0,4,2,3,3,3,1,1,0
32,6,3,4,0.64,83,보통,0,0,0,4,5,4,5,3,3,4,1
69,3,2,24,1.26,70,보통,0,0,0,3,1,3,4,4,4,2,0
26,12,2,13,0.28,60,혼잡,0,0,0,1,5,4,4,2,1,4,1
25,6,2,10,1.45,90,보통,0,0,0,1,4,1,3,2,3,3,0
37,3,3,8,1.07,140,여유,0,0,0,2,2,3,2,4,4,4,1
46,6,3,11,0.47,86,보통,1,0,0,2,4,4,3,3,4,3,0
63,1,5,32,0.38,141,보통,1,0,0,3,4,2,2,4,4,3,0
41,3,0,3,1.49,68,보통,0,0,1,4,4,3,2,4,4,4,0
44,1,2,5,4.96,48,여유,0,0,0,2,4,2,4,3,3,4,1
46,1,2,12,1.31,31,보통,0,0,0,3,1,3,1,4,4,1,0
27,3,3,2,1.2,105,보통,0,0,0,5,5,3,3,5,5,4,0
42,6,2,22,1.4,49,여유,0,0,0,3,3,2,4,4,4,5,0
50,6,1,6,1.57,68,여유,0,1,1,4,5,4,5,5,4,5,1
46,6,2,2,0.83,86,여유,0,0,0,4,3,3,4,5,5,5,0
17,6,3,8,0.67,20,보통,0,1,0,2,1,3,4,3,3,2,0
58,3,3,3,0.2,142,혼잡,0,0,0,2,4,4,3,4,5,2,0
23,6,3,27,0.6,87,여유,0,0,0,3,4,4,4,2,3,4,0
41,6,2,29,1.02,56,여유,0,0,0,2,3,3,2,2,3,3,0
29,1,1,5,2.25,62,보통,0,1,0,4,4,3,4,3,2,4,0
43,6,2,22,0.72,22,여유,0,0,0,4,4,2,2,4,5,1,0
42,1,0,3,7.19,138,보통,0,0,0,3,2,3,3,3,2,2,1
31,6,1,3,2.12,49,여유,0,0,0,2,2,3,2,4,3,1,0
63,3,3,6,0.77,104,보통,1,1,0,3,2,1,3,2,3,3,0
24,1,1,24,1.3,36,여유,0,1,0,3,4,4,4,5,5,5,0
31,3,3,7,0.78,146,혼잡,1,0,0,3,4,5,4,5,5,3,0
47,6,1,6,0.72,44,보통,0,0,0,3,1,3,1,2,4,1,0
26,12,3,4,0.37,140,보통,1,1,0,5,5,2,3,4,4,4,0
42,3,5,30,0.73,49,여유,0,1,0,2,2,5,4,4,3,4,0
20,3,1,2,1.53,37,매우혼잡,0,0,0,4,3,5,1,4,3,2,0
68,6,1,25,1.31,68,보통,0,1,1,3,2,3,4,4,4,1,0
50,12,4,14,1.32,43,혼잡,0,1,0,5,4,3,4,4,4,5,1
61,12,0,8,1.93,33,혼잡,0,1,1,3,4,3,3,4,4,4,1
49,12,1,2,1.85,105,보통,0,1,0,4,2,3,4,4,3,3,1
28,12,5,22,0.22,46,보통,0,0,0,2,4,3,5,4,3,1,1
44,6,1,25,1.23,19,여유,0,0,0,3,1,2,3,5,4,2,1
64,6,2,22,0.73,62,여유,0,1,0,2,4,2,1,4,3,3,0
46,6,3,9,0.31,51,보통,0,0,0,4,4,4,5,4,4,3,0
42,12,0,2,1.53,37,보통,0,0,0,4,5,3,3,4,4,3,0
20,12,0,11,5.71,94,혼잡,0,0,0,2,3,4,5,4,2,3,1
33,6,1,10,0.62,60,혼잡,1,0,0,3,3,5,3,4,4,3,0
33,6,2,8,1.76,88,보통,1,0,0,2,5,4,1,5,4,3,1
29,12,3,3,0.56,54,보통,0,1,0,4,4,3,2,5,5,5,0
57,3,1,1,0.65,81,보통,0,0,0,2,3,4,2,2,3,3,0
31,12,4,3,0.14,39,여유,0,0,0,3,4,3,4,4,4,4,0
30,3,2,2,0.64,79,혼잡,1,1,0,4,2,3,2,4,4,3,0
60,3,2,4,0.9,46,혼잡,0,0,0,3,5,2,3,3,4,1,0
21,3,3,5,0.62,54,혼잡,0,1,0,4,3,3,2,3,4,3,0
31,3,2,8,0.91,70,여유,0,0,0,1,4,1,3,1,1,2,0
48,6,2,21,0.7,47,보통,0,0,0,3,4,2,2,5,4,3,0
45,3,3,36,0.75,39,혼잡,0,0,0,3,3,4,3,4,3,2,0
68,3,0,9,7.35,50,매우혼잡,0,0,0,2,4,4,3,5,4,3,1
59,3,3,11,0.69,60,보통,0,1,0,4,5,3,5,4,4,4,1
33,1,0,12,7.86,58,혼잡,0,0,0,4,2,3,3,4,4,1,1
21,6,3,3,1.12,33,보통,0,1,0,1,3,3,4,3,4,3,0
62,3,2,2,0.96,70,보통,0,0,0,3,4,5,3,5,5,4,1
37,12,2,10,0.7,50,보통,0,0,0,3,3,1,2,3,4,2,0
49,3,4,7,0.44,138,보통,1,0,0,3,1,3,2,3,2,3,0
38,6,0,4,2.32,85,여유,0,1,0,3,2,3,4,4,4,4,1
24,12,1,2,1.39,95,보통,0,0,0,2,2,4,3,3,3,3,1
40,1,1,4,1.2,66,보통,0,0,0,3,4,3,3,1,2,2,0
25,12,6,13,0.53,118,혼잡,1,1,0,4,4,4,4,4,4,5,0
23,6,4,5,1.03,69,보통,0,0,0,2,3,2,1,3,2,1,0
37,6,0,7,1.65,15,보통,0,0,0,4,2,3,4,3,3,4,0
26,12,3,3,0.71,84,여유,0,0,0,1,1,2,2,4,4,2,0
58,1,1,25,2.33,86,보통,1,0,0,4,2,4,3,5,5,4,1
28,6,2,1,1.09,88,보통,0,0,0,3,5,3,4,4,5,4,0
69,12,1,35,1.15,81,여유,0,0,0,1,3,3,4,2,1,3,0
65,6,1,38,1.34,17,여유,0,0,1,1,3,2,2,3,3,3,0
42,3,2,25,0.37,24,혼잡,0,0,0,3,2,3,4,3,3,2,0
54,3,1,1,1.39,85,보통,1,0,0,5,4,3,3,5,5,5,0
42,6,1,4,1.29,19,보통,0,0,1,3,1,2,3,3,4,3,1
55,6,2,24,0.63,85,보통,0,0,0,3,5,1,1,3,3,2,0
39,6,1,5,1.34,42,보통,0,0,0,5,5,3,4,4,5,2,1
32,1,3,3,0.84,85,여유,0,0,0,3,3,2,3,3,3,2,0
57,1,3,22,1.45,62,보통,0,0,0,4,2,2,2,3,4,3,0
26,3,3,17,0.19,78,여유,0,1,0,3,3,3,3,3,4,2,0
56,1,0,6,0.89,27,혼잡,0,1,0,3,4,5,3,3,2,4,0
30,1,2,8,1.47,40,혼잡,0,1,0,4,5,5,4,3,3,5,0
46,6,3,12,0.51,95,보통,0,0,0,4,3,4,4,4,5,4,1
42,6,2,36,0.67,78,보통,0,1,0,4,4,3,4,4,4,4,0
26,6,2,4,1.34,52,혼잡,0,0,1,3,2,4,1,5,4,1,1
25,3,0,7,1.0,59,보통,0,0,0,4,3,3,3,4,3,3,0
31,1,2,8,1.03,65,여유,0,0,0,3,3,3,5,4,4,2,1
52,1,2,2,0.98,70,여유,0,0,0,4,2,4,4,5,5,2,0
24,1,1,15,0.56,35,보통,0,0,0,2,4,5,3,3,3,3,0
34,12,4,23,0.49,31,여유,0,0,0,3,1,3,3,4,4,2,1
61,12,2,33,0.6,102,여유,1,0,1,3,4,3,2,1,4,3,0
16,1,2,9,0.54,45,보통,1,0,0,4,3,1,3,4,4,3,0
53,12,3,9,0.94,142,여유,1,1,0,4,4,1,3,4,4,3,0
62,3,2,7,0.8,53,여유,0,0,0,4,4,2,2,4,4,3,0
42,6,3,12,0.66,46,여유,0,0,0,4,2,3,4,4,1,3,0
62,3,3,2,1.98,43,여유,1,1,0,2,4,2,1,5,4,4,1
47,6,6,11,0.21,115,여유,1,0,0,3,3,2,4,3,3,2,0
46,12,4,14,0.72,84,여유,0,0,0,3,3,2,1,3,3,4,1
62,12,0,11,1.54,47,보통,0,1,0,4,1,4,4,2,2,3,0
38,12,3,7,1.92,53,매우혼잡,1,1,0,5,5,3,2,4,3,2,1
58,3,1,6,1.02,70,여유,0,0,0,3,4,1,3,4,5,3,0
16,12,3,3,0.52,83,여유,0,1,0,2,4,1,1,3,4,2,0
60,3,2,12,0.92,87,보통,0,1,0,4,3,1,1,2,3,4,0
42,3,0,3,4.78,30,매우혼잡,1,1,1,4,4,5,4,3,3,2,1
61,3,1,11,2.05,96,보통,0,0,0,5,2,5,4,5,4,3,1
34,3,1,11,1.25,26,여유,0,0,0,2,4,2,3,4,5,2,0
66,6,3,13,1.07,66,보통,0,1,0,3,4,4,3,5,4,1,0
27,6,3,8,0.44,74,보통,1,0,0,3,2,2,2,3,3,1,0
29,3,1,9,2.1,18,혼잡,0,1,0,3,4,2,3,3,3,2,1
45,12,4,5,0.46,112,보통,1,0,0,2,3,3,4,3,2,3,0
63,1,3,38,0.88,82,혼잡,1,1,0,4,4,4,2,2,3,1,0
32,12,3,5,0.7,43,보통,0,0,0,2,4,3,3,3,4,3,0
30,12,1,6,1.13,119,보통,0,0,0,2,4,3,5,4,3,3,0
62,3,2,11,1.26,56,보통,0,1,0,4,4,3,2,3,4,3,0
18,6,3,2,1.08,65,보통,0,0,0,3,2,4,3,2,2,3,0
31,6,3,13,2.49,107,여유,0,0,0,2,2,1,1,2,2,1,0
56,1,3,3,0.79,34,혼잡,1,1,0,3,4,4,5,4,4,2,0
23,12,1,6,0.73,63,혼잡,0,0,0,5,2,4,4,4,3,2,1
42,3,3,3,0.92,34,보통,0,0,0,4,4,3,4,5,5,3,0
26,12,1,11,0.79,55,혼잡,0,0,1,5,4,5,5,5,5,3,0
70,12,0,14,2.09,64,보통,0,0,1,4,4,2,4,4,4,2,0
24,12,3,7,0.86,38,혼잡,1,1,0,4,3,5,5,4,3,4,0
41,1,3,10,0.39,82,보통,0,1,0,4,5,4,4,4,4,2,0
51,12,0,18,1.48,52,보통,0,1,0,3,4,3,1,4,4,2,0
44,6,1,16,1.92,52,여유,0,1,0,4,4,2,3,5,4,3,1
34,12,4,34,0.42,53,혼잡,0,0,0,5,5,3,4,4,4,4,0
32,3,2,20,1.7,75,보통,0,1,0,4,4,4,4,5,5,4,1
67,6,4,14,0.15,76,혼잡,0,0,0,5,4,3,4,3,1,4,0
55,3,5,28,0.51,92,보통,1,0,0,3,4,2,1,4,3,3,0
56,12,3,6,1.38,92,보통,0,0,0,1,4,4,1,4,5,2,0
36,12,2,31,1.59,38,보통,1,0,0,4,3,5,4,3,3,4,1
26,3,2,12,0.37,48,보통,0,0,0,3,4,4,3,4,4,3,0
46,3,6,11,0.19,71,여유,0,1,0,3,3,1,2,3,2,4,0
67,12,0,11,2.84,50,보통,0,0,1,3,2,3,2,4,2,2,1
28,6,2,9,1.29,79,혼잡,0,1,0,4,3,4,4,2,2,1,0
31,3,4,8,0.52,83,여유,0,1,0,4,4,3,3,4,5,4,0
40,12,1,6,2.02,56,보통,0,1,0,4,4,2,3,5,4,4,0
47,1,3,11,0.98,36,보통,1,1,0,3,3,1,2,4,4,1,0
60,12,1,8,1.1,65,보통,0,1,0,3,4,5,5,5,3,4,0
33,1,1,6,1.31,41,보통,0,0,0,4,4,4,4,2,4,3,0
36,6,3,26,1.9,42,여유,0,0,0,3,4,1,1,3,3,3,0
32,3,2,37,0.51,41,혼잡,0,0,1,4,1,4,3,5,5,1,0
62,6,3,10,0.57,118,여유,1,1,0,3,3,1,1,4,3,1,0
39,6,1,2,1.24,83,보통,0,0,0,5,5,2,4,5,4,4,1
68,3,4,6,0.53,91,여유,0,0,0,1,3,3,3,4,4,4,0
20,3,1,3,0.93,98,혼잡,0,0,0,3,4,5,5,4,5,3,1
69,12,2,33,0.67,78,보통,0,0,0,5,2,3,4,2,4,2,0
25,1,2,31,0.69,22,여유,0,0,0,3,3,2,2,4,3,4,0
24,3,3,3,0.58,59,매우혼잡,0,0,0,3,4,5,5,5,3,3,1
41,3,1,11,1.68,72,보통,0,0,0,5,2,1,2,4,4,2,1
67,6,2,11,0.59,124,보통,0,1,0,4,5,4,5,5,5,4,0
37,3,2,6,1.14,81,혼잡,1,1,0,4,4,5,3,5,4,4,1
37,6,2,2,1.44,35,여유,0,1,0,4,4,2,4,4,4,2,1
23,12,4,13,0.46,138,매우혼잡,1,0,0,3,4,4,2,1,2,1,0
32,3,3,4,0.31,70,여유,0,0,0,2,3,4,4,5,4,3,0
33,6,2,14,0.7,51,여유,0,0,0,4,5,2,4,5,5,3,1
66,6,3,19,1.34,94,보통,0,0,0,4,4,5,4,5,5,5,0
50,3,2,8,0.91,45,여유,0,0,0,3,3,2,4,4,5,3,1
51,12,2,5,5.47,43,여유,0,0,0,1,3,1,2,1,1,2,1
52,3,3,28,0.63,51,보통,1,1,0,4,4,4,5,4,3,3,0
44,6,0,5,6.58,34,혼잡,0,0,0,2,3,3,3,3,4,1,1
34,12,2,11,0.9,18,보통,0,1,0,4,4,4,5,4,5,3,0
23,6,2,4,0.17,44,보통,0,0,0,3,4,3,4,3,3,4,0
24,3,1,2,0.87,63,혼잡,0,0,0,3,2,4,4,3,4,3,1
39,6,4,4,0.34,67,보통,0,1,0,5,4,3,4,5,4,1,0
19,12,2,23,0.34,54,보통,1,1,0,4,4,2,4,3,3,4,0
39,6,4,30,0.14,22,혼잡,1,1,0,4,5,4,5,4,4,3,0
26,6,1,34,0.8,61,혼잡,0,0,0,3,4,3,5,4,3,3,0
25,6,2,6,0.53,43,매우혼잡,0,0,0,5,4,4,4,3,3,1,0
31,12,1,4,1.31,132,매우혼잡,1,0,1,4,5,5,4,5,5,1,0
35,3,3,12,0.78,51,보통,0,0,0,4,4,3,5,5,5,4,1
32,12,0,8,0.32,57,보통,0,0,0,5,3,3,4,4,3,3,0
37,6,4,17,0.44,105,보통,1,0,0,3,2,4,5,3,3,2,0
54,1,2,40,0.65,107,매우혼잡,1,0,0,4,5,4,3,3,2,4,0
57,12,1,23,0.53,54,보통,0,0,0,3,3,4,3,5,4,4,1
47,6,2,28,1.32,53,매우혼잡,0,0,0,5,4,4,4,5,5,3,0
25,6,4,4,0.51,126,보통,0,0,0,2,3,4,3,4,2,2,0
49,6,3,6,0.33,78,여유,1,0,0,1,2,1,2,2,2,2,0
55,12,2,27,1.48,74,보통,0,0,0,4,4,3,5,4,3,3,0
65,6,0,4,7.85,84,보통,0,0,0,4,5,1,1,4,5,4,1
44,12,0,1,1.7,53,보통,0,0,0,5,3,3,3,4,3,4,1
29,6,2,28,0.58,79,혼잡,0,0,1,4,4,4,4,4,4,1,0
46,12,0,15,1.42,78,여유,0,0,0,4,1,4,4,4,4,4,1
31,12,2,16,0.46,75,여유,0,0,0,1,2,1,1,1,1,4,1
31,12,3,6,0.71,72,보통,0,0,0,4,5,5,4,4,4,4,1
37,6,1,2,1.46,15,보통,0,1,0,4,3,2,2,4,2,4,0
32,3,3,2,0.44,29,혼잡,0,1,0,4,4,3,4,4,4,5,0
66,12,0,7,1.67,82,보통,0,0,0,5,4,2,4,3,3,2,0
26,6,1,18,1.34,77,보통,0,0,0,4,3,3,3,5,5,2,0
20,6,1,2,2.04,85,여유,0,0,0,3,4,3,4,3,3,4,1
29,12,0,11,1.39,75,보통,0,0,0,5,3,4,4,4,3,3,1
24,6,5,6,0.67,119,보통,1,1,0,4,2,1,4,1,1,2,1
40,12,0,10,1.65,139,보통,1,0,0,4,4,4,5,4,3,3,1
52,12,3,2,1.0,43,보통,0,0,0,5,4,4,5,5,5,4,0
61,12,1,9,1.71,77,여유,0,0,0,1,3,2,3,4,4,2,1
31,12,3,5,0.47,36,보통,0,0,0,1,4,1,2,4,3,1,0
43,12,4,10,0.12,109,보통,0,0,0,2,2,3,2,3,3,2,0
30,6,1,4,1.11,75,여유,1,0,0,3,4,3,3,4,4,4,0
21,6,1,23,1.19,100,매우혼잡,0,0,0,5,5,5,5,5,4,2,0
37,12,0,12,0.6,33,보통,0,0,1,5,3,5,5,4,4,4,1
28,6,1,22,1.38,42,여유,0,0,0,2,4,3,3,5,5,2,0
24,1,2,9,2.06,64,매우혼잡,0,0,0,3,5,2,2,4,3,3,0
69,3,2,32,4.28,77,보통,1,1,0,3,5,3,4,4,5,3,1
26,3,3,3,0.68,125,여유,1,1,0,1,2,1,2,3,2,3,0
65,6,2,33,1.59,50,보통,0,0,0,2,4,2,3,1,3,2,0
30,3,4,7,0.57,71,보통,1,1,0,5,3,3,3,4,3,3,0
36,12,1,21,0.74,128,보통,0,1,0,5,1,3,4,4,4,4,0
57,3,3,2,1.48,51,보통,0,1,0,1,2,4,1,2,3,1,0
29,12,2,10,0.5,67,보통,0,0,0,4,4,3,4,5,5,4,1
58,12,3,2,0.52,65,보통,0,0,1,3,4,2,2,3,3,2,0
66,12,2,11,1.41,59,혼잡,0,0,0,3,3,4,4,3,2,3,0
24,1,1,10,1.19,44,여유,0,0,1,4,1,3,3,4,3,5,1
23,6,2,3,1.17,78,혼잡,1,0,1,4,3,4,4,4,4,4,0
53,12,1,37,5.95,76,보통,0,0,0,1,5,5,2,5,4,3,1
46,12,0,6,2.22,48,여유,0,0,0,3,5,2,4,4,5,4,1
48,6,3,4,0.45,63,혼잡,0,0,0,1,2,1,3,2,3,1,0
57,3,2,15,1.11,72,매우혼잡,0,0,0,4,4,4,5,4,5,4,1
33,3,3,10,1.35,40,여유,0,1,0,3,3,1,3,5,4,2,1
32,6,3,34,0.16,74,여유,0,0,0,4,4,2,2,5,5,4,0
28,12,3,36,0.5,73,여유,0,0,0,2,3,1,2,2,3,1,0
40,12,2,10,0.41,78,보통,0,0,0,3,4,4,4,3,3,3,0
49,6,2,35,0.56,67,여유,0,1,0,4,4,1,3,5,5,4,0
20,12,3,10,0.26,41,보통,0,1,0,4,3,4,4,4,4,4,1
49,6,3,11,0.99,27,보통,1,1,0,3,4,3,4,3,3,2,0
67,6,2,7,0.27,38,보통,0,0,0,5,5,4,5,5,5,4,0
26,1,5,4,0.15,55,여유,0,0,0,1,4,3,4,4,4,4,0
45,6,2,2,1.39,34,보통,0,0,0,4,4,4,3,4,4,2,0
49,3,3,20,0.51,28,혼잡,0,1,0,4,4,4,4,5,4,3,0
32,1,5,6,0.49,118,혼잡,1,1,0,3,4,3,5,3,4,1,0
39,12,2,15,1.41,104,매우혼잡,0,0,0,4,4,4,4,5,3,3,0
24,1,2,20,0.86,62,혼잡,0,0,0,2,3,4,4,5,5,3,1
31,12,2,6,0.79,74,보통,0,1,0,3,4,4,4,5,5,2,1
45,1,0,3,4.48,38,혼잡,0,0,0,5,4,5,4,5,4,3,1
38,3,4,22,0.92,103,여유,1,0,0,3,3,4,3,4,3,5,0
28,12,4,3,0.67,87,혼잡,1,1,0,5,3,2,1,1,3,4,0
18,12,1,5,4.19,38,혼잡,0,1,0,4,4,3,4,3,1,3,1
52,1,1,11,0.65,86,혼잡,0,0,0,2,4,4,4,3,4,4,0
36,3,2,7,0.76,73,매우혼잡,1,1,0,3,4,5,5,1,4,3,0
54,6,0,6,5.15,26,여유,0,0,1,2,2,2,4,3,4,3,1
38,12,3,21,0.78,41,여유,0,1,0,3,3,2,2,4,5,3,0
45,6,0,8,1.94,82,보통,0,0,0,3,4,4,3,3,3,2,1
18,6,2,2,1.6,20,보통,1,0,0,4,4,3,2,4,2,3,0
31,3,2,4,1.93,75,보통,0,0,1,2,4,4,5,4,4,4,0
41,1,3,31,0.66,57,여유,0,0,0,2,4,2,1,2,2,2,0
41,1,2,12,1.23,83,여유,0,0,0,4,1,1,2,4,3,4,0
36,6,4,35,0.17,75,혼잡,1,0,0,2,3,2,3,1,2,2,0
38,12,1,6,2.3,47,보통,0,1,0,3,3,3,4,3,2,4,1
67,3,4,5,0.43,78,보통,1,0,0,4,3,2,2,4,4,3,0
27,6,0,3,1.44,57,여유,0,0,0,4,1,2,3,3,3,4,0
68,12,4,39,0.29,32,보통,1,0,0,2,4,3,2,4,3,2,0
22,3,2,3,1.37,64,보통,1,1,0,3,2,3,3,1,1,1,1
24,3,2,8,0.86,80,여유,0,0,0,3,2,3,3,4,4,2,0
51,12,3,5,0.34,51,여유,0,1,0,1,4,2,1,3,3,4,0
26,3,3,7,0.25,52,혼잡,0,1,0,3,3,3,4,3,1,3,0
